device,barrier,horizon_h,cost_ratio,delay_h,boundary_sigmas,sigma_median,boundary_level,premium_level
SE01-LS-1,0.300000,6,0.020000,0,4.940074,0.015716,0.377640,0.077640
SE01-LS-1,0.300000,12,0.020000,0,4.974893,0.015716,0.378188,0.078188
SE01-LS-1,0.300000,24,0.020000,0,4.986635,0.015716,0.378372,0.078372
SE01-LS-1,0.300000,48,0.020000,0,4.990662,0.015716,0.378435,0.078435
SE01-LS-1,0.300000,6,0.050000,0,4.084009,0.015716,0.364186,0.064186
SE01-LS-1,0.300000,12,0.050000,0,4.938187,0.015716,0.377611,0.077611
SE01-LS-1,0.300000,24,0.050000,0,4.977237,0.015716,0.378224,0.078224
SE01-LS-1,0.300000,48,0.050000,0,4.989091,0.015716,0.378411,0.078411
SE01-LS-1,0.300000,6,0.100000,0,3.355838,0.015716,0.352742,0.052742
SE01-LS-1,0.300000,12,0.100000,0,4.402403,0.015716,0.369190,0.069190
SE01-LS-1,0.300000,24,0.100000,0,4.957063,0.015716,0.377907,0.077907
SE01-LS-1,0.300000,48,0.100000,0,4.985837,0.015716,0.378360,0.078360
SE01-LS-1,0.300000,48,0.100000,2,8.560834,0.015716,0.434546,0.134546
SE01-LS-1,0.300000,48,0.100000,4,10.353039,0.015716,0.462713,0.162713
SE01-LS-1,0.300000,48,0.100000,8,13.099049,0.015716,0.505870,0.205870
SE01-LS-1,0.300000,48,0.100000,12,15.329397,0.015716,0.540923,0.240923
SE01-LS-1,0.300000,48,0.100000,24,20.261373,0.015716,0.618436,0.318436
SE01-LS-1,0.300000,6,0.200000,0,2.637170,0.015716,0.341447,0.041447
SE01-LS-1,0.300000,12,0.200000,0,3.566099,0.015716,0.356046,0.056046
SE01-LS-1,0.300000,24,0.200000,0,4.896768,0.015716,0.376960,0.076960
SE01-LS-1,0.300000,48,0.200000,0,4.976886,0.015716,0.378219,0.078219
SE01-LS-1,0.300000,6,0.300000,0,2.167408,0.015716,0.334064,0.034064
SE01-LS-1,0.300000,12,0.300000,0,3.130105,0.015716,0.349194,0.049194
SE01-LS-1,0.300000,24,0.300000,0,4.091732,0.015716,0.364307,0.064307
SE01-LS-1,0.300000,48,0.300000,0,4.963869,0.015716,0.378014,0.078014
SE01-LS-1,0.300000,6,0.500000,0,1.472018,0.015716,0.323135,0.023135
SE01-LS-1,0.300000,12,0.500000,0,2.337023,0.015716,0.336730,0.036730
SE01-LS-1,0.300000,24,0.500000,0,3.358038,0.015716,0.352776,0.052776
SE01-LS-1,0.300000,48,0.500000,0,4.916429,0.015716,0.377269,0.077269
SE01-LS-2,0.300000,6,0.020000,0,4.885571,0.025988,0.426966,0.126966
SE01-LS-2,0.300000,12,0.020000,0,5.026077,0.025988,0.430617,0.130617
SE01-LS-2,0.300000,24,0.020000,0,5.044669,0.025988,0.431100,0.131100
SE01-LS-2,0.300000,48,0.020000,0,5.054153,0.025988,0.431347,0.131347
SE01-LS-2,0.300000,6,0.050000,0,3.363890,0.025988,0.387420,0.087420
SE01-LS-2,0.300000,12,0.050000,0,4.583791,0.025988,0.419123,0.119123
SE01-LS-2,0.300000,24,0.050000,0,5.012647,0.025988,0.430268,0.130268
SE01-LS-2,0.300000,48,0.050000,0,5.040471,0.025988,0.430991,0.130991
SE01-LS-2,0.300000,6,0.100000,0,2.587371,0.025988,0.367240,0.067240
SE01-LS-2,0.300000,12,0.100000,0,3.385322,0.025988,0.387977,0.087977
SE01-LS-2,0.300000,24,0.100000,0,4.663219,0.025988,0.421187,0.121187
SE01-LS-2,0.300000,48,0.100000,0,5.013817,0.025988,0.430299,0.130299
SE01-LS-2,0.300000,48,0.100000,2,6.375181,0.025988,0.465678,0.165678
SE01-LS-2,0.300000,48,0.100000,4,7.476553,0.025988,0.494300,0.194300
SE01-LS-2,0.300000,48,0.100000,8,9.203226,0.025988,0.539173,0.239173
SE01-LS-2,0.300000,48,0.100000,12,10.580016,0.025988,0.574952,0.274952
SE01-LS-2,0.300000,48,0.100000,24,13.279407,0.025988,0.645104,0.345104
SE01-LS-2,0.300000,6,0.200000,0,1.887976,0.025988,0.349065,0.049065
SE01-LS-2,0.300000,12,0.200000,0,2.583067,0.025988,0.367128,0.067128
SE01-LS-2,0.300000,24,0.200000,0,3.377837,0.025988,0.387783,0.087783
SE01-LS-2,0.300000,48,0.200000,0,4.692896,0.025988,0.421959,0.121959
SE01-LS-2,0.300000,6,0.300000,0,1.519268,0.025988,0.339483,0.039483
SE01-LS-2,0.300000,12,0.300000,0,2.096916,0.025988,0.354494,0.054494
SE01-LS-2,0.300000,24,0.300000,0,2.825766,0.025988,0.373436,0.073436
SE01-LS-2,0.300000,48,0.300000,0,3.557926,0.025988,0.392463,0.092463
SE01-LS-2,0.300000,6,0.500000,0,0.912778,0.025988,0.323721,0.023721
SE01-LS-2,0.300000,12,0.500000,0,1.473248,0.025988,0.338287,0.038287
SE01-LS-2,0.300000,24,0.500000,0,2.006483,0.025988,0.352144,0.052144
SE01-LS-2,0.300000,48,0.500000,0,2.818420,0.025988,0.373245,0.073245
SE01-LS-3,0.300000,6,0.020000,0,4.048037,0.020380,0.382500,0.082500
SE01-LS-3,0.300000,12,0.020000,0,4.092899,0.020380,0.383414,0.083414
SE01-LS-3,0.300000,24,0.020000,0,4.111115,0.020380,0.383786,0.083786
SE01-LS-3,0.300000,48,0.020000,0,4.121102,0.020380,0.383989,0.083989
SE01-LS-3,0.300000,6,0.050000,0,3.170668,0.020380,0.364619,0.064619
SE01-LS-3,0.300000,12,0.050000,0,3.851482,0.020380,0.378494,0.078494
SE01-LS-3,0.300000,24,0.050000,0,4.079736,0.020380,0.383146,0.083146
SE01-LS-3,0.300000,48,0.050000,0,4.106834,0.020380,0.383698,0.083698
SE01-LS-3,0.300000,6,0.100000,0,2.642504,0.020380,0.353855,0.053855
SE01-LS-3,0.300000,12,0.100000,0,3.167655,0.020380,0.364558,0.064558
SE01-LS-3,0.300000,24,0.100000,0,3.827397,0.020380,0.378003,0.078003
SE01-LS-3,0.300000,48,0.100000,0,4.080313,0.020380,0.383158,0.083158
SE01-LS-3,0.300000,48,0.100000,2,5.753363,0.020380,0.417255,0.117255
SE01-LS-3,0.300000,48,0.100000,4,6.975366,0.020380,0.442160,0.142160
SE01-LS-3,0.300000,48,0.100000,8,8.826889,0.020380,0.479895,0.179895
SE01-LS-3,0.300000,48,0.100000,12,10.293785,0.020380,0.509790,0.209790
SE01-LS-3,0.300000,48,0.100000,24,13.204972,0.020380,0.569121,0.269121
SE01-LS-3,0.300000,6,0.200000,0,1.965235,0.020380,0.340052,0.040052
SE01-LS-3,0.300000,12,0.200000,0,2.611009,0.020380,0.353213,0.053213
SE01-LS-3,0.300000,24,0.200000,0,3.145793,0.020380,0.364112,0.064112
SE01-LS-3,0.300000,48,0.200000,0,3.803119,0.020380,0.377509,0.077509
SE01-LS-3,0.300000,6,0.300000,0,1.579149,0.020380,0.332184,0.032184
SE01-LS-3,0.300000,12,0.300000,0,2.148412,0.020380,0.343785,0.043785
SE01-LS-3,0.300000,24,0.300000,0,2.692692,0.020380,0.354878,0.054878
SE01-LS-3,0.300000,48,0.300000,0,3.201578,0.020380,0.365249,0.065249
SE01-LS-3,0.300000,6,0.500000,0,0.950191,0.020380,0.319365,0.019365
SE01-LS-3,0.300000,12,0.500000,0,1.518745,0.020380,0.330952,0.030952
SE01-LS-3,0.300000,24,0.500000,0,2.076907,0.020380,0.342328,0.042328
SE01-LS-3,0.300000,48,0.500000,0,2.671868,0.020380,0.354453,0.054453
SE01-LS-4,0.300000,6,0.020000,0,5.972282,0.012725,0.375998,0.075998
SE01-LS-4,0.300000,12,0.020000,0,5.997416,0.012725,0.376318,0.076318
SE01-LS-4,0.300000,24,0.020000,0,6.004744,0.012725,0.376411,0.076411
SE01-LS-4,0.300000,48,0.020000,0,6.007531,0.012725,0.376447,0.076447
SE01-LS-4,0.300000,6,0.050000,0,4.629632,0.012725,0.358913,0.058913
SE01-LS-4,0.300000,12,0.050000,0,5.969242,0.012725,0.375959,0.075959
SE01-LS-4,0.300000,24,0.050000,0,5.997815,0.012725,0.376323,0.076323
SE01-LS-4,0.300000,48,0.050000,0,6.006315,0.012725,0.376431,0.076431
SE01-LS-4,0.300000,6,0.100000,0,3.677593,0.012725,0.346798,0.046798
SE01-LS-4,0.300000,12,0.100000,0,5.311736,0.012725,0.367593,0.067593
SE01-LS-4,0.300000,24,0.100000,0,5.981965,0.012725,0.376121,0.076121
SE01-LS-4,0.300000,48,0.100000,0,6.003675,0.012725,0.376398,0.076398
SE01-LS-4,0.300000,48,0.100000,2,9.499775,0.012725,0.420886,0.120886
SE01-LS-4,0.300000,48,0.100000,4,11.297662,0.012725,0.443764,0.143764
SE01-LS-4,0.300000,48,0.100000,8,13.915838,0.012725,0.477081,0.177081
SE01-LS-4,0.300000,48,0.100000,12,16.041865,0.012725,0.504135,0.204135
SE01-LS-4,0.300000,48,0.100000,24,20.850004,0.012725,0.565319,0.265319
SE01-LS-4,0.300000,6,0.200000,0,2.637455,0.012725,0.333562,0.033562
SE01-LS-4,0.300000,12,0.200000,0,4.182713,0.012725,0.353226,0.053226
SE01-LS-4,0.300000,24,0.200000,0,5.930452,0.012725,0.375466,0.075466
SE01-LS-4,0.300000,48,0.200000,0,5.996050,0.012725,0.376301,0.076301
SE01-LS-4,0.300000,6,0.300000,0,2.064129,0.012725,0.326266,0.026266
SE01-LS-4,0.300000,12,0.300000,0,3.423288,0.012725,0.343562,0.043562
SE01-LS-4,0.300000,24,0.300000,0,4.963724,0.012725,0.363164,0.063164
SE01-LS-4,0.300000,48,0.300000,0,5.984589,0.012725,0.376155,0.076155
SE01-LS-4,0.300000,6,0.500000,0,1.418498,0.012725,0.318051,0.018051
SE01-LS-4,0.300000,12,0.500000,0,2.486459,0.012725,0.331641,0.031641
SE01-LS-4,0.300000,24,0.500000,0,3.900038,0.012725,0.349628,0.049628
SE01-LS-4,0.300000,48,0.500000,0,5.941617,0.012725,0.375608,0.075608
SE0X-LS-1,0.300000,6,0.020000,0,4.368415,0.022252,0.397207,0.097207
SE0X-LS-1,0.300000,12,0.020000,0,4.419172,0.022252,0.398336,0.098336
SE0X-LS-1,0.300000,24,0.020000,0,4.436474,0.022252,0.398721,0.098721
